"Anio","Mes","Recuperados","Clase","Municipio"
2020,6,164,"Predicho","LA ESTRELLA"
2020,6,7579,"Predicho","MEDELLIN"
2020,6,217,"Predicho","SABANETA"
2020,7,100,"Predicho","BARBOSA"
2020,7,2022,"Predicho","BELLO"
2020,7,455,"Predicho","CALDAS"
2020,7,370,"Predicho","COPACABANA"
2020,7,737,"Predicho","ENVIGADO"
2020,7,196,"Predicho","GIRARDOTA"
2020,7,1259,"Predicho","ITAGUI"
2020,7,282,"Predicho","LA ESTRELLA"
2020,7,12814,"Predicho","MEDELLIN"
2020,7,374,"Predicho","SABANETA"
2020,8,57,"Predicho","BARBOSA"
2020,8,1153,"Predicho","BELLO"
2020,8,258,"Predicho","CALDAS"
2020,8,214,"Predicho","COPACABANA"
2020,8,412,"Predicho","ENVIGADO"
2020,8,112,"Predicho","GIRARDOTA"
2020,8,708,"Predicho","ITAGUI"
2020,8,158,"Predicho","LA ESTRELLA"
2020,8,7090,"Predicho","MEDELLIN"
2020,8,211,"Predicho","SABANETA"
2020,9,57,"Predicho","BARBOSA"
2020,9,1149,"Predicho","BELLO"
2020,9,255,"Predicho","CALDAS"
2020,9,216,"Predicho","COPACABANA"
2020,9,403,"Predicho","ENVIGADO"
2020,9,112,"Predicho","GIRARDOTA"
2020,9,696,"Predicho","ITAGUI"
2020,9,155,"Predicho","LA ESTRELLA"
2020,9,6857,"Predicho","MEDELLIN"
2020,9,207,"Predicho","SABANETA"
2020,10,189,"Predicho","BARBOSA"
2020,10,3973,"Predicho","BELLO"
2020,10,945,"Predicho","CALDAS"
2020,10,515,"Predicho","COPACABANA"
2020,10,1926,"Predicho","ENVIGADO"
2020,10,256,"Predicho","GIRARDOTA"
2020,10,2955,"Predicho","ITAGUI"
2020,10,427,"Predicho","LA ESTRELLA"
2020,10,26112,"Predicho","MEDELLIN"
2020,10,765,"Predicho","SABANETA"
2020,11,189,"Predicho","BARBOSA"
2020,11,3959,"Predicho","BELLO"
2020,11,935,"Predicho","CALDAS"
2020,11,521,"Predicho","COPACABANA"
2020,11,1883,"Predicho","ENVIGADO"
2020,11,256,"Predicho","GIRARDOTA"
2020,11,2906,"Predicho","ITAGUI"
2020,11,419,"Predicho","LA ESTRELLA"
2020,11,25256,"Predicho","MEDELLIN"
2020,11,754,"Predicho","SABANETA"
2020,12,189,"Predicho","BARBOSA"
2020,12,3946,"Predicho","BELLO"
2020,12,924,"Predicho","CALDAS"
2020,12,526,"Predicho","COPACABANA"
2020,12,1842,"Predicho","ENVIGADO"
2020,12,256,"Predicho","GIRARDOTA"
2020,12,2857,"Predicho","ITAGUI"
2020,12,411,"Predicho","LA ESTRELLA"
2020,12,24428,"Predicho","MEDELLIN"
2020,12,743,"Predicho","SABANETA"
2021,1,301,"Predicho","BARBOSA"
2021,1,6517,"Predicho","BELLO"
2021,1,1660,"Predicho","CALDAS"
2021,1,747,"Predicho","COPACABANA"
2021,1,3748,"Predicho","ENVIGADO"
2021,1,402,"Predicho","GIRARDOTA"
2021,1,5466,"Predicho","ITAGUI"
2021,1,812,"Predicho","LA ESTRELLA"
2021,1,56092,"Predicho","MEDELLIN"
2021,1,1396,"Predicho","SABANETA"
2021,2,132,"Predicho","BARBOSA"
2021,2,2858,"Predicho","BELLO"
2021,2,723,"Predicho","CALDAS"
2021,2,332,"Predicho","COPACABANA"
2021,2,1613,"Predicho","ENVIGADO"
